ip,student_id,text,cid,time,类别
222.73.152.221,910,雾霾的主要成分,1,2026/1/6 8:12,🌫️ 雾霾是什么？
222.73.152.221,910,雾霾发生的地区,6,2026/1/6 8:12,🏙️ 城市与非城市雾霾的区别？
222.73.152.221,910,雾霾的高发时间段,6,2026/1/6 8:12,🏙️ 城市与非城市雾霾的区别？
222.73.152.221,910,雾霾治理的先例,6,2026/1/6 8:12,🏙️ 城市与非城市雾霾的区别？
101.230.165.237,924,空气组成成分,1,2026/1/6 8:12,🌫️ 雾霾是什么？
101.230.165.237,924,主要污染物浓度,7,2026/1/6 8:12,🔍 更多奥秘探索
101.230.165.237,924,污染物来源,2,2026/1/6 8:12,⚙️ 雾霾是怎么产生的？
101.230.165.237,924,工厂排放污染物处理情况,2,2026/1/6 8:12,⚙️ 雾霾是怎么产生的？
101.230.165.229,917,雾霾主要成分是什么🤔,1,2026/1/6 8:13,🌫️ 雾霾是什么？
101.230.165.229,917,雾霾的来源是什么🤔,2,2026/1/6 8:13,⚙️ 雾霾是怎么产生的？
101.230.165.230,933,造成雾霾的主要气体成分,1,2026/1/6 8:13,🌫️ 雾霾是什么？
101.230.165.230,933,附近工厂分布情况,7,2026/1/6 8:13,🔍 更多奥秘探索
101.230.165.230,933,现行气体治理法律法规,7,2026/1/6 8:13,🔍 更多奥秘探索
101.230.165.230,933,季节对空气环境影响,7,2026/1/6 8:13,🔍 更多奥秘探索
222.73.152.210,913,雾霾程度的评判标准,6,2026/1/6 8:14,🏙️ 城市与非城市雾霾的区别？
101.230.165.205,903,引起雾霾问题的主要因素,6,2026/1/6 8:14,🏙️ 城市与非城市雾霾的区别？
101.230.165.205,903,近5年空气污染的数据情况,7,2026/1/6 8:14,🔍 更多奥秘探索
101.230.165.205,903,空气污染的主要物质,1,2026/1/6 8:14,🌫️ 雾霾是什么？
101.230.165.205,903,雾霾问题对人类的日常生活影响,6,2026/1/6 8:14,🏙️ 城市与非城市雾霾的区别？
101.230.165.210,928,城市雾霾污染程度,6,2026/1/6 8:14,🏙️ 城市与非城市雾霾的区别？
101.230.165.210,928,操作成本,3,2026/1/6 8:14,💰 治理雾霾的成本如何？
101.230.165.210,928,雾霾是什么,1,2026/1/6 8:14,🌫️ 雾霾是什么？
101.230.165.210,928,雾霾成因,6,2026/1/6 8:14,🏙️ 城市与非城市雾霾的区别？
101.230.165.157,931,雾霾是什么,1,2026/1/6 8:14,🌫️ 雾霾是什么？
101.230.165.157,931,雾霾的含量,6,2026/1/6 8:14,🏙️ 城市与非城市雾霾的区别？
